health_id,agent_id,heartbeat,cpu_usage,memory_usage,status
HLT00390,AG002,2026-07-24 18:09:00,71.4,42.0,Healthy
HLT00391,AG002,2026-07-25 07:07:00,30.7,47.0,Healthy
HLT00392,AG005,2026-07-20 02:45:00,29.2,51.4,Healthy
HLT00393,AG001,2026-07-20 22:05:00,22.9,18.6,Healthy
HLT00394,AG001,2026-07-26 13:03:00,66.4,62.4,Healthy
HLT00395,AG001,2026-07-21 12:08:00,12.1,45.3,Healthy
HLT00396,AG001,2026-07-25 00:43:00,45.5,17.1,Healthy
HLT00397,AG004,2026-07-25 21:02:00,88.8,55.8,Warning
HLT00398,AG001,2026-07-24 13:25:00,8.6,58.3,Healthy
HLT00399,AG003,2026-07-28 09:35:00,88.2,37.1,Warning
HLT00400,AG004,2026-07-22 04:07:00,85.6,55.6,Warning
HLT00401,AG004,2026-07-24 01:57:00,31.8,84.8,Warning
HLT00402,AG002,2026-07-25 01:46:00,30.8,60.8,Healthy
HLT00403,AG004,2026-07-25 18:46:00,76.2,58.9,Healthy
HLT00404,AG001,2026-07-24 19:14:00,21.6,34.9,Healthy
HLT00405,AG004,2026-07-25 23:28:00,50.8,51.1,Healthy
HLT00406,AG001,2026-07-23 21:12:00,36.0,68.0,Healthy
HLT00407,AG002,2026-07-21 01:46:00,10.8,84.0,Warning
HLT00408,AG005,2026-07-25 23:22:00,41.7,52.6,Healthy
HLT00409,AG003,2026-07-20 06:17:00,40.7,84.5,Warning
HLT00410,AG003,2026-07-19 22:04:00,75.2,22.1,Healthy
HLT00411,AG003,2026-07-22 10:41:00,72.6,24.1,Healthy
HLT00412,AG002,2026-07-25 15:35:00,66.3,22.2,Healthy
HLT00413,AG004,2026-07-26 17:45:00,34.1,34.2,Healthy
HLT00414,AG002,2026-07-28 02:52:00,74.4,15.8,Healthy
HLT00415,AG005,2026-07-23 07:20:00,30.8,53.5,Healthy
HLT00416,AG002,2026-07-19 20:32:00,79.5,45.1,Healthy
HLT00417,AG002,2026-07-24 04:16:00,36.6,42.7,Healthy
HLT00418,AG003,2026-07-26 04:57:00,14.2,28.1,Healthy
HLT00419,AG002,2026-07-25 13:05:00,33.7,44.0,Healthy
HLT00420,AG004,2026-07-23 11:55:00,14.4,52.5,Healthy
HLT00421,AG004,2026-07-26 21:28:00,66.1,35.6,Healthy
HLT00422,AG002,2026-07-21 23:31:00,58.7,62.4,Healthy
HLT00423,AG002,2026-07-22 03:18:00,88.4,60.6,Warning
HLT00424,AG003,2026-07-19 09:08:00,31.9,54.3,Healthy
HLT00425,AG005,2026-07-23 23:14:00,11.7,63.4,Healthy
HLT00426,AG004,2026-07-24 00:11:00,19.6,31.9,Healthy
HLT00427,AG005,2026-07-24 13:01:00,7.2,60.4,Healthy
HLT00428,AG005,2026-07-19 20:04:00,73.6,31.3,Healthy
HLT00429,AG005,2026-07-28 08:52:00,25.5,18.2,Healthy
HLT00430,AG002,2026-07-22 15:35:00,45.0,83.4,Warning
HLT00431,AG003,2026-07-20 02:00:00,69.2,46.4,Healthy
HLT00432,AG003,2026-07-22 02:13:00,52.4,73.6,Healthy
HLT00433,AG001,2026-07-27 00:44:00,24.5,83.3,Warning
HLT00434,AG004,2026-07-20 09:42:00,5.8,47.4,Healthy
HLT00435,AG002,2026-07-21 15:48:00,46.4,43.7,Healthy
HLT00436,AG005,2026-07-26 11:06:00,65.0,73.5,Healthy
HLT00437,AG003,2026-07-18 19:55:00,29.0,31.8,Healthy
HLT00438,AG003,2026-07-26 17:59:00,70.7,72.8,Healthy
HLT00439,AG005,2026-07-24 20:22:00,43.5,54.1,Healthy
HLT00440,AG005,2026-07-27 07:53:00,14.9,33.9,Healthy
HLT00441,AG005,2026-07-22 00:00:00,65.7,35.3,Healthy
HLT00442,AG001,2026-07-19 03:58:00,33.6,21.5,Healthy
HLT00443,AG003,2026-07-25 20:12:00,6.2,18.2,Healthy
HLT00444,AG004,2026-07-18 20:03:00,56.0,60.8,Healthy
HLT00445,AG002,2026-07-28 09:21:00,12.7,81.1,Warning
HLT00446,AG002,2026-07-21 08:00:00,65.7,77.0,Healthy
HLT00447,AG003,2026-07-19 12:00:00,29.5,59.8,Healthy
HLT00448,AG003,2026-07-26 21:12:00,52.1,73.5,Healthy
HLT00449,AG002,2026-07-19 07:28:00,6.6,68.6,Healthy
HLT00450,AG003,2026-07-20 01:40:00,93.8,75.2,Warning
HLT00451,AG001,2026-07-28 02:30:00,30.0,26.3,Healthy
HLT00452,AG004,2026-07-19 10:26:00,82.0,50.6,Healthy
HLT00453,AG002,2026-07-28 03:34:00,57.0,71.1,Healthy
HLT00454,AG004,2026-07-24 11:47:00,72.8,53.7,Healthy
HLT00455,AG002,2026-07-21 07:27:00,92.9,58.1,Warning
HLT00456,AG004,2026-07-18 20:20:00,59.5,30.6,Healthy
HLT00457,AG003,2026-07-27 06:20:00,84.7,47.1,Healthy
HLT00458,AG005,2026-07-28 04:14:00,40.6,80.5,Warning
HLT00459,AG005,2026-07-25 09:06:00,42.4,73.5,Healthy
HLT00460,AG003,2026-07-27 01:20:00,90.4,20.2,Warning
HLT00461,AG002,2026-07-24 11:37:00,22.3,53.6,Healthy
HLT00462,AG004,2026-07-19 06:19:00,87.0,60.2,Warning
HLT00463,AG003,2026-07-21 02:46:00,38.1,51.1,Healthy
HLT00464,AG001,2026-07-20 13:30:00,81.1,30.3,Healthy
HLT00465,AG002,2026-07-18 19:11:00,17.2,17.9,Healthy
HLT00466,AG001,2026-07-28 09:37:00,43.3,54.8,Healthy
HLT00467,AG005,2026-07-23 21:31:00,79.4,20.3,Healthy
HLT00468,AG004,2026-07-26 07:06:00,44.4,16.6,Healthy
HLT00469,AG002,2026-07-21 17:32:00,18.1,82.6,Warning
HLT00470,AG004,2026-07-27 04:32:00,92.9,15.3,Warning
HLT00471,AG003,2026-07-26 09:07:00,36.9,77.2,Healthy
HLT00472,AG001,2026-07-28 00:57:00,30.0,68.3,Healthy
HLT00473,AG003,2026-07-25 22:50:00,26.5,30.5,Healthy
HLT00474,AG002,2026-07-22 22:54:00,45.9,63.2,Healthy
HLT00475,AG004,2026-07-23 21:30:00,62.9,87.0,Warning
HLT00476,AG004,2026-07-19 14:58:00,70.0,68.4,Healthy
HLT00477,AG004,2026-07-20 16:50:00,33.0,69.4,Healthy
HLT00478,AG005,2026-07-18 14:13:00,55.2,67.2,Healthy
HLT00479,AG004,2026-07-23 19:55:00,88.3,32.0,Warning
HLT00480,AG002,2026-07-23 16:20:00,62.5,86.0,Warning
HLT00481,AG001,2026-07-18 17:07:00,84.7,78.6,Healthy
HLT00482,AG001,2026-07-23 08:58:00,59.4,58.7,Healthy
HLT00483,AG001,2026-07-24 19:40:00,81.7,35.8,Healthy
HLT00484,AG004,2026-07-19 23:11:00,67.4,59.2,Healthy
HLT00485,AG003,2026-07-22 01:17:00,49.0,17.6,Healthy
HLT00486,AG005,2026-07-20 02:11:00,54.0,53.6,Healthy
HLT00487,AG004,2026-07-28 08:38:00,29.6,16.0,Healthy
HLT00488,AG002,2026-07-27 17:44:00,36.5,75.8,Healthy
HLT00489,AG004,2026-07-21 16:23:00,23.6,79.6,Healthy
HLT00490,AG005,2026-07-23 03:02:00,40.4,54.2,Healthy
HLT00491,AG001,2026-07-27 02:06:00,41.7,21.2,Healthy
HLT00492,AG004,2026-07-21 15:40:00,57.0,59.8,Healthy
HLT00493,AG001,2026-07-23 15:53:00,17.2,70.6,Healthy
HLT00494,AG004,2026-07-19 11:51:00,67.2,54.0,Healthy
HLT00495,AG003,2026-07-18 17:09:00,78.4,29.0,Healthy
HLT00496,AG001,2026-07-25 15:40:00,45.9,42.1,Healthy
HLT00497,AG003,2026-07-25 17:02:00,76.2,52.2,Healthy
HLT00498,AG005,2026-07-28 02:45:00,24.0,27.6,Healthy
HLT00499,AG003,2026-07-20 22:06:00,24.3,73.9,Healthy
HLT00500,AG001,2026-07-27 15:31:00,32.2,51.3,Healthy
