report_id,generated_by,overall_risk,recommendation,confidence,created_at
REP206,AG001,Critical,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.96,2026-07-22 02:00:00
REP207,AG002,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.7,2026-06-06 09:00:00
REP208,AG004,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.87,2026-07-09 09:00:00
REP209,AG003,Medium,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.88,2026-05-02 19:00:00
REP210,AG002,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.72,2026-06-23 17:00:00
REP211,AG005,Medium,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.82,2026-07-20 07:00:00
REP212,AG002,Low,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.69,2026-05-21 08:00:00
REP213,AG001,Medium,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.97,2026-05-15 03:00:00
REP214,AG001,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.7,2026-06-20 20:00:00
REP215,AG001,Critical,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.88,2026-06-22 14:00:00
REP216,AG004,High,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.69,2026-07-21 17:00:00
REP217,AG004,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.75,2026-06-06 01:00:00
REP218,AG003,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.74,2026-07-22 02:00:00
REP219,AG002,Low,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.66,2026-05-27 22:00:00
REP220,AG005,Medium,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.75,2026-07-01 22:00:00
REP221,AG001,Critical,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.99,2026-07-17 19:00:00
REP222,AG004,High,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.88,2026-05-10 06:00:00
REP223,AG002,Critical,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.96,2026-06-30 19:00:00
REP224,AG003,Low,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.84,2026-06-23 17:00:00
REP225,AG004,Low,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.77,2026-07-09 13:00:00
REP226,AG005,Critical,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.92,2026-07-23 15:00:00
REP227,AG005,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.86,2026-05-17 15:00:00
REP228,AG001,High,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.75,2026-05-18 22:00:00
REP229,AG002,Medium,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.76,2026-06-26 23:00:00
REP230,AG005,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.93,2026-07-02 01:00:00
REP231,AG002,Critical,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.85,2026-06-23 05:00:00
REP232,AG003,Medium,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.99,2026-07-15 19:00:00
REP233,AG004,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.96,2026-07-01 14:00:00
REP234,AG004,Low,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.95,2026-05-13 16:00:00
REP235,AG004,Medium,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.69,2026-06-03 15:00:00
REP236,AG003,High,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.74,2026-05-06 05:00:00
REP237,AG004,Medium,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.68,2026-05-06 19:00:00
REP238,AG003,Critical,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.93,2026-07-22 08:00:00
REP239,AG001,High,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.92,2026-07-07 11:00:00
REP240,AG002,Medium,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.7,2026-05-17 12:00:00
REP241,AG001,Critical,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.97,2026-07-03 11:00:00
REP242,AG001,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.9,2026-06-25 03:00:00
REP243,AG003,Low,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.81,2026-06-12 11:00:00
REP244,AG002,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.99,2026-06-03 16:00:00
REP245,AG004,Low,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.77,2026-06-27 06:00:00
REP246,AG005,Low,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.84,2026-07-27 00:00:00
REP247,AG005,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.84,2026-06-29 03:00:00
REP248,AG005,Critical,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.75,2026-05-29 04:00:00
REP249,AG004,Low,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.76,2026-06-23 15:00:00
REP250,AG005,Low,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.94,2026-07-02 10:00:00
REP251,AG002,Medium,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.68,2026-07-12 20:00:00
REP252,AG001,Low,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.78,2026-05-22 12:00:00
REP253,AG005,High,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.87,2026-05-05 17:00:00
REP254,AG001,Critical,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.87,2026-06-27 10:00:00
REP255,AG003,Critical,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.97,2026-07-24 06:00:00
REP256,AG003,Low,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.86,2026-06-29 10:00:00
REP257,AG004,High,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.84,2026-05-14 14:00:00
REP258,AG004,High,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.74,2026-06-15 12:00:00
REP259,AG002,Critical,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.9,2026-07-06 04:00:00
REP260,AG005,High,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.85,2026-07-07 14:00:00
REP261,AG001,Low,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.71,2026-05-14 04:00:00
REP262,AG004,Medium,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.71,2026-06-05 04:00:00
REP263,AG004,Medium,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.86,2026-05-02 05:00:00
REP264,AG002,Critical,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.66,2026-06-02 18:00:00
REP265,AG005,Critical,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.96,2026-05-23 01:00:00
REP266,AG005,High,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.94,2026-05-07 10:00:00
REP267,AG005,Low,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.85,2026-07-14 11:00:00
REP268,AG004,Critical,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.98,2026-05-24 02:00:00
REP269,AG004,Medium,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.82,2026-05-28 17:00:00
REP270,AG004,High,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.69,2026-07-11 06:00:00
REP271,AG003,Critical,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.67,2026-06-07 19:00:00
REP272,AG003,High,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.84,2026-05-17 00:00:00
REP273,AG005,Low,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.93,2026-06-10 00:00:00
REP274,AG001,Critical,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.85,2026-07-05 12:00:00
REP275,AG001,Medium,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.97,2026-06-21 23:00:00
REP276,AG004,High,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.99,2026-05-03 14:00:00
REP277,AG002,Medium,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.88,2026-06-27 01:00:00
REP278,AG001,Critical,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.76,2026-07-18 23:00:00
REP279,AG004,Low,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.65,2026-07-09 17:00:00
REP280,AG002,High,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.79,2026-05-29 19:00:00
REP281,AG005,Low,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.75,2026-07-26 02:00:00
REP282,AG005,Medium,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.82,2026-05-25 04:00:00
REP283,AG004,Medium,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.65,2026-07-02 14:00:00
REP284,AG004,Critical,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.88,2026-06-15 21:00:00
REP285,AG003,Low,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.82,2026-05-24 03:00:00
REP286,AG005,Critical,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.69,2026-06-12 11:00:00
REP287,AG004,High,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.67,2026-05-30 14:00:00
REP288,AG004,Critical,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.74,2026-07-11 23:00:00
REP289,AG001,Low,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.77,2026-07-12 01:00:00
REP290,AG004,Critical,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.68,2026-05-20 08:00:00
REP291,AG001,High,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.73,2026-06-25 16:00:00
REP292,AG001,Low,Re-evaluate supplier risk index for Pacific Metals & Alloys following 3 consecutive delayed deliveries.,0.86,2026-07-17 07:00:00
REP293,AG005,Low,Schedule predictive maintenance for CNC Milling Center #014 to prevent catastrophic downtime.,0.65,2026-05-22 04:00:00
REP294,AG004,High,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.77,2026-07-24 08:00:00
REP295,AG005,Medium,Diversify tier-2 supplier allocation for automotive rotors to mitigate elevated lead-time risk.,0.87,2026-07-08 00:00:00
REP296,AG004,Critical,Accelerate purchase order PO00342 to prevent impending stockout in Chicago Central Hub.,0.69,2026-07-19 16:00:00
REP297,AG001,Medium,Initiate emergency safety stock reorder for critical microcontrollers due to predicted APAC port congestion.,0.79,2026-07-10 08:00:00
REP298,AG004,High,Optimize warehouse storage layout in Rotterdam Gateway Port Depot to improve pick throughput by 14%.,0.89,2026-07-24 09:00:00
REP299,AG001,Medium,Reroute Shipment TRK-DHL-8921 to avoid regional weather disruption in Midwestern transit hub.,0.8,2026-06-24 14:00:00
REP300,AG004,Medium,Deploy autonomous agent workflow WF-BOTTLENECK-DETECTION across European manufacturing lines.,0.73,2026-06-14 00:00:00
