shipment_id,sales_order_id,carrier_name,tracking_number,origin,destination,status,eta,actual_delivery,shipping_cost
SHIP00867,SO00867,DB Schenker,TRK-DB -63513397,Singapore,"Dallas, Japan",Delivered,2026-07-13,2026-07-13,124.37
SHIP00868,SO00868,DHL Express,TRK-DHL-65827483,"Shenzhen, China","Birmingham, United States",Delayed,2025-12-13,,843.62
SHIP00869,SO00869,DHL Express,TRK-DHL-39399336,"Hamburg, Germany","Pune, China",Delivered,2025-12-19,2025-12-20,782.43
SHIP00870,SO00870,FedEx Freight,TRK-FED-90510250,"Tokyo, Japan","Chicago, China",Delayed,2026-02-16,,602.59
SHIP00871,SO00871,DHL Express,TRK-DHL-31452515,"Stuttgart, Germany","Querétaro, United States",Delivered,2025-11-18,2025-11-18,811.15
SHIP00872,SO00872,Kuehne + Nagel,TRK-KUE-13911289,"Guadalajara, Mexico","Ningbo, India",Delivered,2026-07-26,2026-07-25,1718.38
SHIP00873,SO00873,DHL Express,TRK-DHL-92818679,"Melbourne, Australia","Tokyo, Germany",In Transit,2026-01-01,,1077.08
SHIP00874,SO00874,DB Schenker,TRK-DB -32525080,Singapore,"Hai Phong, United States",Delivered,2026-08-01,2026-08-02,1468.16
SHIP00875,SO00875,Maersk Logistics,TRK-MAE-80788069,"Chicago, IL, USA","Hsinchu, Germany",Delivered,2026-01-05,2026-01-04,107.08
SHIP00876,SO00876,DHL Express,TRK-DHL-44839543,"Yokohama, Japan","Pune, Japan",In Transit,2025-12-01,,1368.65
SHIP00877,SO00877,DHL Express,TRK-DHL-15869242,"Incheon, South Korea","Suzhou, Mexico",Delivered,2026-05-30,2026-05-29,150.72
SHIP00878,SO00878,DHL Express,TRK-DHL-37680536,"Dallas, TX, USA","Detroit, Japan",Delivered,2026-01-24,2026-01-25,1765.63
SHIP00879,SO00879,DB Schenker,TRK-DB -90995694,"Dallas, TX, USA","Pune, Japan",Delivered,2025-09-16,2025-09-24,392.52
SHIP00880,SO00880,DB Schenker,TRK-DB -50860975,"Detroit, MI, USA","Hamilton, Germany",In Transit,2026-04-14,,327.87
SHIP00881,SO00881,DB Schenker,TRK-DB -92267951,"Dallas, TX, USA","Detroit, United States",Delivered,2026-05-29,2026-05-28,1504.03
SHIP00882,SO00882,Maersk Logistics,TRK-MAE-27014113,"Pune, India","Seoul, Canada",Delayed,2026-06-06,,1770.29
SHIP00883,SO00883,DB Schenker,TRK-DB -28515896,"Rotterdam, Netherlands","Monterrey, United Kingdom",Delivered,2025-09-24,2025-09-24,267.88
SHIP00884,SO00884,DHL Express,TRK-DHL-85055943,Singapore,"Hsinchu, Vietnam",Delivered,2026-03-09,2026-03-08,831.84
SHIP00885,SO00885,DHL Express,TRK-DHL-52554506,"Monterrey, Mexico","Nagoya, Germany",Preparing,2025-09-16,,249.7
SHIP00886,SO00886,UPS Supply Chain,TRK-UPS-37499767,"Hamburg, Germany","Pune, India",In Transit,2026-04-30,,793.26
SHIP00887,SO00887,Maersk Logistics,TRK-MAE-21651169,"Toronto, Canada","Stuttgart, Vietnam",Delivered,2025-10-24,2025-10-23,1754.41
SHIP00888,SO00888,DHL Express,TRK-DHL-98296812,"Taipei, Taiwan","Stuttgart, Taiwan",In Transit,2026-06-01,,228.06
SHIP00889,SO00889,Kuehne + Nagel,TRK-KUE-45967670,"Bengaluru, India","Tokyo, Germany",In Transit,2026-07-01,,245.68
SHIP00890,SO00890,UPS Supply Chain,TRK-UPS-31009668,"Detroit, MI, USA","Dallas, Taiwan",Delayed,2026-01-25,,1427.94
SHIP00891,SO00891,FedEx Freight,TRK-FED-48978250,"Rotterdam, Netherlands","Suzhou, Germany",Delivered,2025-11-15,2025-11-16,550.79
SHIP00892,SO00892,Maersk Logistics,TRK-MAE-26188818,"Frankfurt, Germany","Taipei, Germany",Delivered,2025-09-15,2025-09-14,692.83
SHIP00893,SO00893,DHL Express,TRK-DHL-77265378,"Tokyo, Japan","Shenzhen, United States",Delivered,2026-04-19,2026-04-22,662.29
SHIP00894,SO00894,DHL Express,TRK-DHL-15775825,"Los Angeles, CA, USA","Stuttgart, Taiwan",Delivered,2025-09-30,2025-10-04,1810.54
SHIP00895,SO00895,Kuehne + Nagel,TRK-KUE-99630870,"Atlanta, GA, USA","Ningbo, South Korea",In Transit,2026-05-24,,543.53
SHIP00896,SO00896,UPS Supply Chain,TRK-UPS-90380867,"Guadalajara, Mexico","Detroit, China",Delayed,2026-07-04,,719.04
SHIP00897,SO00897,Maersk Logistics,TRK-MAE-49068424,"Monterrey, Mexico","Pune, Japan",Delivered,2026-03-07,2026-03-08,1735.47
SHIP00898,SO00898,FedEx Freight,TRK-FED-81736717,"Seattle, WA, USA","Dortmund, Japan",In Transit,2026-06-01,,1378.28
SHIP00899,SO00899,DB Schenker,TRK-DB -14588975,"Munich, Germany","Querétaro, Mexico",In Transit,2026-02-19,,1359.66
SHIP00900,SO00900,FedEx Freight,TRK-FED-62163523,"Osaka, Japan","Osaka, Canada",Delivered,2026-01-16,2026-01-16,1165.01
SHIP00901,SO00901,FedEx Freight,TRK-FED-12411383,"Toronto, Canada","Munich, Taiwan",In Transit,2026-07-16,,1446.01
SHIP00902,SO00902,Kuehne + Nagel,TRK-KUE-20798549,"Hamburg, Germany","Ningbo, Japan",In Transit,2025-11-11,,1271.69
SHIP00903,SO00903,UPS Supply Chain,TRK-UPS-63003119,"Tokyo, Japan","Shenzhen, United States",Preparing,2025-09-29,,330.8
SHIP00904,SO00904,DB Schenker,TRK-DB -73575882,"Rotterdam, Netherlands","Stuttgart, Taiwan",Delivered,2025-09-10,2025-09-09,255.17
SHIP00905,SO00905,Maersk Logistics,TRK-MAE-18234630,"Seattle, WA, USA","Stuttgart, Germany",In Transit,2026-04-12,,1286.69
SHIP00906,SO00906,FedEx Freight,TRK-FED-29960032,"Detroit, MI, USA","Chicago, United States",Delivered,2026-02-07,2026-02-07,669.95
SHIP00907,SO00907,DB Schenker,TRK-DB -78593915,"Incheon, South Korea","Nagoya, China",Delivered,2025-11-15,2025-11-15,972.37
SHIP00908,SO00908,UPS Supply Chain,TRK-UPS-90489904,"Atlanta, GA, USA","Stuttgart, Germany",Returned,2025-12-13,2025-12-21,1203.75
SHIP00909,SO00909,DB Schenker,TRK-DB -34361513,"Atlanta, GA, USA","Dallas, Canada",Preparing,2025-12-09,,856.72
SHIP00910,SO00910,Kuehne + Nagel,TRK-KUE-55854258,"Osaka, Japan","Incheon, China",Delivered,2026-04-05,2026-04-05,994.25
SHIP00911,SO00911,FedEx Freight,TRK-FED-64106842,"Munich, Germany","Dortmund, United States",Delivered,2026-01-16,2026-01-17,1739.79
SHIP00912,SO00912,DB Schenker,TRK-DB -72188506,"Shenzhen, China","Taipei, Taiwan",Delivered,2026-03-18,2026-03-24,1601.23
SHIP00913,SO00913,DB Schenker,TRK-DB -33835140,"Taipei, Taiwan","Birmingham, China",Delivered,2026-07-04,2026-07-04,1024.11
SHIP00914,SO00914,DB Schenker,TRK-DB -72703533,"Hamburg, Germany","Suzhou, Vietnam",In Transit,2026-07-02,,101.5
SHIP00915,SO00915,UPS Supply Chain,TRK-UPS-31178500,"Munich, Germany","Hsinchu, Germany",Preparing,2026-01-08,,291.86
SHIP00916,SO00916,Maersk Logistics,TRK-MAE-41198127,"London, UK","Birmingham, United States",Preparing,2026-04-29,,1784.99
SHIP00917,SO00917,Kuehne + Nagel,TRK-KUE-79435757,"Taipei, Taiwan","Hamilton, United Kingdom",Delayed,2026-05-30,,1558.63
SHIP00918,SO00918,Maersk Logistics,TRK-MAE-30526635,Singapore,"Hsinchu, United Kingdom",Delivered,2026-05-02,2026-05-02,67.34
SHIP00919,SO00919,DB Schenker,TRK-DB -30770110,"Detroit, MI, USA","Hsinchu, South Korea",Delivered,2026-07-18,2026-07-18,1489.87
SHIP00920,SO00920,Kuehne + Nagel,TRK-KUE-12440969,"Hamburg, Germany","Querétaro, Mexico",In Transit,2025-09-05,,826.32
SHIP00921,SO00921,Maersk Logistics,TRK-MAE-90584059,"London, UK","Hsinchu, China",Delivered,2026-07-08,2026-07-07,764.36
SHIP00922,SO00922,Maersk Logistics,TRK-MAE-37379852,"Frankfurt, Germany","Seoul, Vietnam",In Transit,2026-03-25,,1512.82
SHIP00923,SO00923,DB Schenker,TRK-DB -44727877,"Incheon, South Korea","Shenzhen, Japan",Delivered,2026-04-29,2026-04-30,1086.83
SHIP00924,SO00924,Maersk Logistics,TRK-MAE-47903418,"Taipei, Taiwan","Tokyo, South Korea",In Transit,2026-05-02,,1204.82
SHIP00925,SO00925,DHL Express,TRK-DHL-81112159,"Stuttgart, Germany","Dortmund, Germany",Delivered,2026-05-09,2026-05-09,1598.91
SHIP00926,SO00926,DB Schenker,TRK-DB -60554126,"Osaka, Japan","Munich, India",In Transit,2025-11-01,,1570.02
SHIP00927,SO00927,FedEx Freight,TRK-FED-75692809,"Rotterdam, Netherlands","Pune, Japan",Delivered,2025-11-25,2025-11-26,818.38
SHIP00928,SO00928,Maersk Logistics,TRK-MAE-10245615,"Stuttgart, Germany","Dortmund, Japan",In Transit,2026-05-07,,1761.9
SHIP00929,SO00929,DHL Express,TRK-DHL-44354759,"Guadalajara, Mexico","Shenzhen, China",Delivered,2026-07-25,2026-07-26,1605.32
SHIP00930,SO00930,DB Schenker,TRK-DB -89575476,"Shenzhen, China","Ningbo, Mexico",In Transit,2025-12-03,,947.03
SHIP00931,SO00931,Maersk Logistics,TRK-MAE-36604210,"Stuttgart, Germany","Dallas, China",Delivered,2025-12-20,2025-12-21,199.86
SHIP00932,SO00932,DB Schenker,TRK-DB -65061577,"Monterrey, Mexico","Pune, Mexico",Preparing,2026-03-30,,869.04
SHIP00933,SO00933,Maersk Logistics,TRK-MAE-76043930,"Dallas, TX, USA","Detroit, Mexico",Delivered,2025-10-27,2025-10-26,1641.4
SHIP00934,SO00934,UPS Supply Chain,TRK-UPS-72255545,"Shenzhen, China","Tokyo, Taiwan",Delivered,2025-10-21,2025-10-22,407.92
SHIP00935,SO00935,DB Schenker,TRK-DB -43453401,"Yokohama, Japan","Bengaluru, Japan",Delivered,2026-07-13,2026-07-13,1298.7
SHIP00936,SO00936,DHL Express,TRK-DHL-30933144,"Pune, India","Seoul, Vietnam",Delivered,2026-04-18,2026-04-18,1542.79
SHIP00937,SO00937,DB Schenker,TRK-DB -21645299,"Seattle, WA, USA","Birmingham, Vietnam",Delayed,2025-10-25,,1785.63
SHIP00938,SO00938,Maersk Logistics,TRK-MAE-22355118,Singapore,"Bengaluru, Japan",In Transit,2026-07-08,,1699.37
SHIP00939,SO00939,FedEx Freight,TRK-FED-36523572,"Osaka, Japan","Hai Phong, Germany",Delivered,2025-10-19,2025-10-18,797.66
SHIP00940,SO00940,DB Schenker,TRK-DB -82750794,"Seattle, WA, USA","Seoul, United States",Delivered,2025-12-26,2025-12-25,1042.09
SHIP00941,SO00941,DB Schenker,TRK-DB -97249336,"Taipei, Taiwan","Ningbo, United States",Delivered,2026-01-11,2026-01-11,1184.73
SHIP00942,SO00942,Kuehne + Nagel,TRK-KUE-36295235,"Hamburg, Germany","Tokyo, China",Delayed,2025-10-30,,46.78
SHIP00943,SO00943,Kuehne + Nagel,TRK-KUE-32867755,"Dallas, TX, USA","Shenzhen, Mexico",Delivered,2026-03-18,2026-03-17,153.75
SHIP00944,SO00944,Maersk Logistics,TRK-MAE-40848031,"Tokyo, Japan","Stuttgart, United Kingdom",Delayed,2026-07-22,,628.84
SHIP00945,SO00945,UPS Supply Chain,TRK-UPS-36445685,"Munich, Germany","Seoul, India",Delivered,2026-03-21,2026-03-20,1426.8
SHIP00946,SO00946,Maersk Logistics,TRK-MAE-47655380,"Incheon, South Korea","Bengaluru, Mexico",Delivered,2026-06-21,2026-06-21,119.6
SHIP00947,SO00947,Kuehne + Nagel,TRK-KUE-13610906,"Guadalajara, Mexico","Shenzhen, United States",Delivered,2025-10-16,2025-10-24,1278.0
SHIP00948,SO00948,Maersk Logistics,TRK-MAE-11553269,"Stuttgart, Germany","Shenzhen, India",In Transit,2026-07-10,,224.13
SHIP00949,SO00949,Kuehne + Nagel,TRK-KUE-53801562,"Toronto, Canada","Seoul, United States",Delivered,2026-03-05,2026-03-04,1215.67
SHIP00950,SO00950,UPS Supply Chain,TRK-UPS-46627141,"Chicago, IL, USA","Monterrey, Germany",Delivered,2026-05-06,2026-05-06,1792.06
SHIP00951,SO00951,Maersk Logistics,TRK-MAE-62355728,"Yokohama, Japan","Hsinchu, Germany",Delivered,2026-05-03,2026-05-02,1694.0
SHIP00952,SO00952,DB Schenker,TRK-DB -54869293,"Incheon, South Korea","Dortmund, United States",Delivered,2025-12-16,2025-12-15,839.51
SHIP00953,SO00953,DB Schenker,TRK-DB -24999597,"Osaka, Japan","Suzhou, India",Delivered,2026-04-06,2026-04-14,1517.4
SHIP00954,SO00954,FedEx Freight,TRK-FED-91454992,"Incheon, South Korea","Dallas, Japan",Delayed,2026-02-09,,445.5
SHIP00955,SO00955,DB Schenker,TRK-DB -38937366,"Osaka, Japan","Suzhou, Mexico",Delivered,2025-11-06,2025-11-07,399.39
SHIP00956,SO00956,Kuehne + Nagel,TRK-KUE-61296408,"Melbourne, Australia","Osaka, United States",Delivered,2025-11-25,2025-11-25,164.18
SHIP00957,SO00957,FedEx Freight,TRK-FED-94109436,"Pune, India","Tokyo, South Korea",Delivered,2026-02-23,2026-02-22,332.4
SHIP00958,SO00958,DHL Express,TRK-DHL-77113605,"Stuttgart, Germany","Shenzhen, Germany",Delivered,2026-07-17,2026-07-16,1763.92
SHIP00959,SO00959,FedEx Freight,TRK-FED-73891716,"Yokohama, Japan","Hsinchu, China",Preparing,2025-10-12,,835.51
SHIP00960,SO00960,Maersk Logistics,TRK-MAE-55409286,"Chicago, IL, USA","Bengaluru, Japan",Delivered,2026-04-18,2026-04-19,389.07
SHIP00961,SO00961,Maersk Logistics,TRK-MAE-32955237,"Osaka, Japan","Detroit, United States",Delayed,2026-05-15,,808.14
SHIP00962,SO00962,Maersk Logistics,TRK-MAE-26613347,"Tokyo, Japan","Monterrey, India",Preparing,2026-03-25,,874.11
SHIP00963,SO00963,UPS Supply Chain,TRK-UPS-71335163,"Tokyo, Japan","Dallas, Germany",Preparing,2026-02-24,,891.69
SHIP00964,SO00964,FedEx Freight,TRK-FED-30274299,"Incheon, South Korea","Dallas, Germany",In Transit,2025-10-07,,843.34
SHIP00965,SO00965,DHL Express,TRK-DHL-86297996,"Chicago, IL, USA","Birmingham, Japan",Delivered,2025-09-18,2025-09-17,364.26
SHIP00966,SO00966,UPS Supply Chain,TRK-UPS-47675911,"Pune, India","Stuttgart, South Korea",In Transit,2026-03-26,,1361.1
SHIP00967,SO00967,UPS Supply Chain,TRK-UPS-67564884,"Atlanta, GA, USA","Dallas, China",Preparing,2026-03-23,,643.28
SHIP00968,SO00968,Kuehne + Nagel,TRK-KUE-65694132,"Pune, India","Dallas, Taiwan",In Transit,2026-06-26,,342.8
SHIP00969,SO00969,Kuehne + Nagel,TRK-KUE-55300705,"Frankfurt, Germany","Stuttgart, Taiwan",Delayed,2026-01-24,,1765.3
SHIP00970,SO00970,DHL Express,TRK-DHL-91407105,"Los Angeles, CA, USA","Munich, South Korea",Delivered,2026-02-21,2026-02-21,226.77
SHIP00971,SO00971,Maersk Logistics,TRK-MAE-93297123,"Guadalajara, Mexico","Shenzhen, Mexico",Delayed,2025-11-23,,1115.02
SHIP00972,SO00972,Maersk Logistics,TRK-MAE-37363423,"Osaka, Japan","Bengaluru, China",Delivered,2026-07-23,2026-07-24,762.04
SHIP00973,SO00973,UPS Supply Chain,TRK-UPS-99163052,"Yokohama, Japan","Dortmund, Japan",Delivered,2026-01-29,2026-01-28,1336.17
SHIP00974,SO00974,DB Schenker,TRK-DB -69352408,"Hamburg, Germany","Seoul, South Korea",Preparing,2026-06-13,,276.15
SHIP00975,SO00975,Kuehne + Nagel,TRK-KUE-75362578,"Taipei, Taiwan","Detroit, South Korea",Preparing,2026-04-07,,534.66
SHIP00976,SO00976,DB Schenker,TRK-DB -90258953,"Melbourne, Australia","Suzhou, India",In Transit,2026-03-22,,675.12
SHIP00977,SO00977,UPS Supply Chain,TRK-UPS-37062713,"Pune, India","Dallas, United States",In Transit,2026-05-25,,1029.96
SHIP00978,SO00978,Maersk Logistics,TRK-MAE-23762146,"Incheon, South Korea","Shenzhen, Germany",Delivered,2026-05-07,2026-05-08,648.8
SHIP00979,SO00979,FedEx Freight,TRK-FED-26048479,"Munich, Germany","Tokyo, Taiwan",In Transit,2026-04-02,,1496.71
SHIP00980,SO00980,UPS Supply Chain,TRK-UPS-66554369,"Shenzhen, China","Dortmund, Mexico",Delivered,2026-01-27,2026-01-26,1578.61
SHIP00981,SO00981,DB Schenker,TRK-DB -12897414,"Incheon, South Korea","Chicago, South Korea",Delivered,2025-10-07,2025-10-06,877.02
SHIP00982,SO00982,DHL Express,TRK-DHL-40148399,"Seattle, WA, USA","Bengaluru, India",Delivered,2025-11-15,2025-11-15,635.64
SHIP00983,SO00983,Kuehne + Nagel,TRK-KUE-28847218,"Toronto, Canada","Osaka, United States",Delivered,2025-10-08,2025-10-09,315.16
SHIP00984,SO00984,UPS Supply Chain,TRK-UPS-14412348,"Atlanta, GA, USA","Hamilton, United States",Preparing,2026-02-07,,1720.26
SHIP00985,SO00985,DHL Express,TRK-DHL-26680101,"Detroit, MI, USA","Suzhou, China",In Transit,2026-03-24,,103.62
SHIP00986,SO00986,Kuehne + Nagel,TRK-KUE-20425766,"Incheon, South Korea","Pune, Taiwan",Delivered,2026-04-20,2026-04-21,555.47
SHIP00987,SO00987,FedEx Freight,TRK-FED-75775015,"Melbourne, Australia","Detroit, Canada",In Transit,2025-10-08,,1846.89
SHIP00988,SO00988,Kuehne + Nagel,TRK-KUE-94724771,"Taipei, Taiwan","Shenzhen, United States",Delivered,2026-02-04,2026-02-08,1769.42
SHIP00989,SO00989,FedEx Freight,TRK-FED-64823318,"Dallas, TX, USA","Suzhou, China",In Transit,2026-07-24,,426.47
SHIP00990,SO00990,FedEx Freight,TRK-FED-39302025,"Munich, Germany","Birmingham, Taiwan",Delivered,2026-05-29,2026-05-30,979.53
SHIP00991,SO00991,UPS Supply Chain,TRK-UPS-90474594,"Tokyo, Japan","Shenzhen, United States",Delivered,2026-05-21,2026-05-23,590.06
SHIP00992,SO00992,DHL Express,TRK-DHL-64993327,"Frankfurt, Germany","Incheon, United States",Delivered,2025-12-03,2025-12-03,963.04
SHIP00993,SO00993,Kuehne + Nagel,TRK-KUE-63342251,"Taipei, Taiwan","Dortmund, United States",Delivered,2026-04-15,2026-04-17,539.09
SHIP00994,SO00994,Maersk Logistics,TRK-MAE-66057893,"Frankfurt, Germany","Munich, China",Delivered,2026-01-21,2026-01-21,1657.68
SHIP00995,SO00995,DHL Express,TRK-DHL-91826035,"Seattle, WA, USA","Osaka, United States",Delivered,2025-12-12,2025-12-14,891.6
SHIP00996,SO00996,UPS Supply Chain,TRK-UPS-73262610,"Frankfurt, Germany","Hamilton, China",In Transit,2026-03-02,,92.45
SHIP00997,SO00997,DHL Express,TRK-DHL-61038585,"Tokyo, Japan","Monterrey, China",Returned,2025-11-24,2025-11-30,852.99
SHIP00998,SO00998,DB Schenker,TRK-DB -78706910,"Frankfurt, Germany","Nagoya, China",Delivered,2026-07-11,2026-07-13,1333.74
SHIP00999,SO00999,Maersk Logistics,TRK-MAE-79932035,"Bengaluru, India","Detroit, Germany",In Transit,2026-04-19,,1227.84
SHIP01000,SO01000,Maersk Logistics,TRK-MAE-66681530,"Tokyo, Japan","Birmingham, Taiwan",Delayed,2025-09-09,,877.94
SHIP01001,SO01001,Maersk Logistics,TRK-MAE-89858878,"Monterrey, Mexico","Pune, Japan",In Transit,2026-07-16,,1078.59
SHIP01002,SO01002,FedEx Freight,TRK-FED-62554626,"London, UK","Hamilton, United States",Delayed,2026-05-18,,1394.0
SHIP01003,SO01003,Kuehne + Nagel,TRK-KUE-98270930,"Atlanta, GA, USA","Hai Phong, United States",In Transit,2026-03-09,,514.55
SHIP01004,SO01004,Kuehne + Nagel,TRK-KUE-59436042,"Stuttgart, Germany","Hamilton, South Korea",Delivered,2026-04-12,2026-04-12,899.26
SHIP01005,SO01005,Maersk Logistics,TRK-MAE-26838926,"Taipei, Taiwan","Dallas, China",In Transit,2026-02-26,,1262.12
SHIP01006,SO01006,Kuehne + Nagel,TRK-KUE-81668929,"Melbourne, Australia","Osaka, Germany",Returned,2025-09-09,2025-09-15,654.3
SHIP01007,SO01007,Kuehne + Nagel,TRK-KUE-57948625,"Munich, Germany","Detroit, Mexico",Delivered,2025-12-24,2025-12-25,903.02
SHIP01008,SO01008,FedEx Freight,TRK-FED-13054793,"Atlanta, GA, USA","Taipei, Mexico",Delivered,2025-10-31,2025-11-01,1117.68
SHIP01009,SO01009,DHL Express,TRK-DHL-59268413,"Hamburg, Germany","Monterrey, United Kingdom",In Transit,2025-09-20,,1200.58
SHIP01010,SO01010,UPS Supply Chain,TRK-UPS-24519185,"London, UK","Seoul, Germany",Delivered,2026-01-31,2026-01-30,1357.16
SHIP01011,SO01011,Kuehne + Nagel,TRK-KUE-46129594,"Detroit, MI, USA","Taipei, Japan",Delivered,2026-04-27,2026-04-27,855.36
SHIP01012,SO01012,FedEx Freight,TRK-FED-29397123,"Osaka, Japan","Suzhou, South Korea",Delivered,2025-10-18,2025-10-19,1622.78
SHIP01013,SO01013,Maersk Logistics,TRK-MAE-57596477,"Incheon, South Korea","Dortmund, United States",Delivered,2026-06-04,2026-06-03,1510.64
SHIP01014,SO01014,DB Schenker,TRK-DB -87862857,"Yokohama, Japan","Seoul, Taiwan",Delayed,2025-10-27,,1834.71
SHIP01015,SO01015,Maersk Logistics,TRK-MAE-24856925,"Dallas, TX, USA","Bengaluru, United States",Delayed,2026-01-09,,705.73
SHIP01016,SO01016,Kuehne + Nagel,TRK-KUE-19214123,"Toronto, Canada","Hsinchu, China",Delivered,2026-01-03,2026-01-02,1369.07
SHIP01017,SO01017,UPS Supply Chain,TRK-UPS-60947636,"Dallas, TX, USA","Nagoya, India",In Transit,2026-04-22,,895.92
SHIP01018,SO01018,Maersk Logistics,TRK-MAE-87433579,"Stuttgart, Germany","Dortmund, China",Delivered,2025-12-27,2025-12-27,1172.88
SHIP01019,SO01019,DHL Express,TRK-DHL-20503906,"Atlanta, GA, USA","Ningbo, Germany",Delivered,2026-03-16,2026-03-15,1398.53
SHIP01020,SO01020,Kuehne + Nagel,TRK-KUE-41229403,"Stuttgart, Germany","Taipei, South Korea",Delivered,2026-02-03,2026-02-03,1370.29
SHIP01021,SO01021,DHL Express,TRK-DHL-65911961,"Detroit, MI, USA","Suzhou, Taiwan",In Transit,2026-03-29,,129.54
SHIP01022,SO01022,Kuehne + Nagel,TRK-KUE-92260070,"Stuttgart, Germany","Detroit, South Korea",Delivered,2026-06-20,2026-06-20,1158.81
SHIP01023,SO01023,FedEx Freight,TRK-FED-92305046,"London, UK","Dallas, Taiwan",Delivered,2026-01-18,2026-01-17,1234.91
SHIP01024,SO01024,DB Schenker,TRK-DB -87408897,"Bengaluru, India","Chicago, Germany",In Transit,2025-10-20,,1719.06
SHIP01025,SO01025,FedEx Freight,TRK-FED-32424966,"Dallas, TX, USA","Seoul, Vietnam",Delivered,2026-05-18,2026-05-17,1728.13
SHIP01026,SO01026,DHL Express,TRK-DHL-28710980,"Chicago, IL, USA","Incheon, India",Delayed,2026-07-05,,1366.42
SHIP01027,SO01027,Kuehne + Nagel,TRK-KUE-98663763,"Munich, Germany","Dallas, United Kingdom",In Transit,2025-10-01,,1383.65
SHIP01028,SO01028,DHL Express,TRK-DHL-61896189,"Monterrey, Mexico","Querétaro, United States",Delivered,2025-10-22,2025-10-23,1044.54
SHIP01029,SO01029,DHL Express,TRK-DHL-79499352,Singapore,"Monterrey, Taiwan",Delayed,2026-04-20,,1828.06
SHIP01030,SO01030,UPS Supply Chain,TRK-UPS-16241211,"Pune, India","Incheon, Vietnam",In Transit,2026-02-15,,1403.48
SHIP01031,SO01031,Maersk Logistics,TRK-MAE-91598483,"London, UK","Ningbo, Mexico",In Transit,2026-03-11,,1124.6
SHIP01032,SO01032,DHL Express,TRK-DHL-42122447,"Toronto, Canada","Dallas, Germany",In Transit,2025-10-20,,778.22
SHIP01033,SO01033,Maersk Logistics,TRK-MAE-93369429,"Atlanta, GA, USA","Shenzhen, United Kingdom",Delayed,2026-03-01,,1523.47
SHIP01034,SO01034,Kuehne + Nagel,TRK-KUE-14084599,"Pune, India","Tokyo, Mexico",Delivered,2026-03-09,2026-03-08,849.77
SHIP01035,SO01035,DHL Express,TRK-DHL-86857338,"Dallas, TX, USA","Stuttgart, Vietnam",Delivered,2025-11-23,2025-11-22,592.5
SHIP01036,SO01036,UPS Supply Chain,TRK-UPS-79736147,"Frankfurt, Germany","Bengaluru, Germany",In Transit,2025-10-22,,987.15
SHIP01037,SO01037,DHL Express,TRK-DHL-19236459,"Munich, Germany","Monterrey, Mexico",In Transit,2026-05-22,,1266.25
SHIP01038,SO01038,Kuehne + Nagel,TRK-KUE-42898569,"Melbourne, Australia","Munich, United States",In Transit,2025-11-27,,975.73
SHIP01039,SO01039,DHL Express,TRK-DHL-50171936,"Rotterdam, Netherlands","Seoul, Taiwan",In Transit,2025-09-16,,1016.43
SHIP01040,SO01040,UPS Supply Chain,TRK-UPS-66726338,"Hamburg, Germany","Osaka, India",Delayed,2026-04-23,,1079.31
SHIP01041,SO01041,DHL Express,TRK-DHL-62337712,"Frankfurt, Germany","Seoul, Germany",Delivered,2025-10-29,2025-10-30,1045.65
SHIP01042,SO01042,UPS Supply Chain,TRK-UPS-51551515,"Yokohama, Japan","Monterrey, Canada",Delivered,2025-10-09,2025-10-08,521.36
SHIP01043,SO01043,DHL Express,TRK-DHL-29805164,"Los Angeles, CA, USA","Tokyo, Mexico",Delivered,2025-12-03,2025-12-02,1501.46
SHIP01044,SO01044,DHL Express,TRK-DHL-65688966,"Toronto, Canada","Chicago, Japan",Delayed,2026-05-21,,729.12
SHIP01045,SO01045,FedEx Freight,TRK-FED-15005074,"Monterrey, Mexico","Seoul, Germany",In Transit,2026-05-10,,950.29
SHIP01046,SO01046,FedEx Freight,TRK-FED-70893185,"Melbourne, Australia","Osaka, United States",Returned,2026-03-21,2026-03-29,1609.36
SHIP01047,SO01047,Kuehne + Nagel,TRK-KUE-32425801,"Yokohama, Japan","Shenzhen, South Korea",Delivered,2026-03-30,2026-03-30,484.53
SHIP01048,SO01048,Maersk Logistics,TRK-MAE-13323695,"Osaka, Japan","Incheon, Taiwan",Delayed,2026-03-09,,303.93
SHIP01049,SO01049,Maersk Logistics,TRK-MAE-93793152,"Bengaluru, India","Stuttgart, Japan",Delivered,2026-06-02,2026-06-02,962.96
SHIP01050,SO01050,UPS Supply Chain,TRK-UPS-90864612,"Yokohama, Japan","Tokyo, Vietnam",In Transit,2026-04-27,,1817.82
SHIP01051,SO01051,DHL Express,TRK-DHL-31836457,"Los Angeles, CA, USA","Incheon, United States",Delivered,2025-10-31,2025-10-30,474.4
SHIP01052,SO01052,UPS Supply Chain,TRK-UPS-42661658,"Monterrey, Mexico","Bengaluru, India",In Transit,2025-12-28,,164.52
SHIP01053,SO01053,DB Schenker,TRK-DB -14757779,"Detroit, MI, USA","Shenzhen, Japan",In Transit,2026-05-04,,76.76
SHIP01054,SO01054,FedEx Freight,TRK-FED-98250282,"Pune, India","Osaka, United Kingdom",Preparing,2025-10-28,,998.88
SHIP01055,SO01055,UPS Supply Chain,TRK-UPS-52801386,"Melbourne, Australia","Detroit, Vietnam",Delivered,2026-02-26,2026-02-25,46.61
